gmina id,gmina name,latitude,longitude,avg income,% PiS Votes,registered voters,ballots counted,powiat,wojewodztwo
1419012,Bielsk,52.65773536,19.79580125,598,33.52925461,7149,3743,p?ocki,mazowieckie
2609072,Samborzec,50.65029679,21.63352516,434,41.77285319,7145,3610,sandomierski,?wi?tokrzyskie
3025032,Nowe Miasto nad Wart?,52.05975266,17.38989764,545,29.5201669,7143,2876,?redzki,wielkopolskie
402073,Jab?onowo Pomorskie,53.38849369,19.20695385,559,22.61306533,7133,3184,brodnicki,kujawsko-pomorskie
3015023,Lw¢wek,52.44228006,16.17573037,553,22.12071778,7132,3065,nowotomyski,wielkopolskie
2413011,Kalety,50.55761236,18.91348057,662,30.84200568,7130,3171,tarnog¢rski,?l?skie
607023,Annopol,50.88909215,21.89283239,318,42.18525954,7120,3487,kra?nicki,lubelskie
410023,Mrocza,53.2391448,17.5720144,431,34.70722931,7113,3057,nakielski,kujawsko-pomorskie
405032,Golub-Dobrzy?,53.13937462,19.07453582,558,32.0754717,7107,3657,golubsko-dobrzy?ski,kujawsko-pomorskie
2417112,Rajcza,49.48008969,19.02964543,557,47.57109005,7101,3376,?ywiecki,?l?skie
1813072,Or?y,49.88043381,22.80154154,405,53.03988996,7084,3635,przemyski,podkarpackie
221053,G?uszyca,50.67207848,16.35701846,523,37.02989392,7081,3111,wa?brzyski,dolno?l?skie
415032,Czernikowo,52.92720879,18.97761798,381,26.80072029,7076,3332,toru?ski,kujawsko-pomorskie
1214012,Koniusza,50.17636289,20.21268848,435,43.27204903,7074,3753,proszowicki,ma?opolskie
2212053,K?pice,54.21349275,16.88363301,454,23.98119122,7072,2552,s?upski,pomorskie
207022,Kamienna G¢ra,50.76329597,16.01297529,598,34.49575872,7066,3183,kamiennog¢rski,dolno?l?skie
2414021,Imielin,50.1414583,19.19771194,1194,24.38712972,7056,3916,bieru?sko-l?dzi?ski,?l?skie
1805032,D?bowiec,49.65092613,21.42459072,340,69.02384914,7052,3606,jasielski,podkarpackie
1818053,Zaklik¢w,50.74258023,22.07921357,437,47.68192488,7046,3408,stalowowolski,podkarpackie
1002062,Kutno,52.22423835,19.33775633,688,46.58052316,7043,3173,kutnowski,?¢dzkie
212043,Mirsk,50.92365926,15.39916576,470,23.54054907,7039,3169,lw¢wecki,dolno?l?skie
1812073,Ulan¢w,50.50487472,22.30173242,361,62.37319397,7038,3253,ni?a?ski,podkarpackie
607083,Urz?d¢w,51.0062828,22.13050139,290,49.15390814,7015,3723,kra?nicki,lubelskie
2212042,G?¢wczyce,54.61005645,17.37940693,406,27.61220826,7003,2785,s?upski,pomorskie
3201033,Karlino,54.05460177,15.83940298,471,30.06744764,7001,2817,bia?ogardzki,zachodniopomorskie
1412123,Mrozy,52.12200989,21.87021812,623,41.98993189,6997,3377,mi?ski,mazowieckie
3024022,Duszniki,52.44542551,16.45414206,558,30.5295091,6994,3626,szamotulski,wielkopolskie
